                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.0839,                0.95007,                 1.2905,                0.71803,                0.74586,                0.78179,                0.55663,                 1.0408,                0.91919,                 1.2429,             0.00037645,             0.00037645,             0.00037645
                     47,                 1.0754,                0.95478,                 1.2823,                0.68677,                0.75933,                0.77509,                0.54744,                 1.0197,                0.91172,                 1.2495,             0.00036985,             0.00036985,             0.00036985
                     48,                 1.0982,                0.96029,                 1.2936,                 0.7479,                0.68728,                0.76244,                0.54332,                 1.0301,                0.92953,                 1.2462,             0.00036325,             0.00036325,             0.00036325
                     49,                 1.0759,                0.93602,                 1.2873,                0.76829,                0.69546,                0.77254,                0.54602,                 1.0296,                0.91049,                 1.2174,             0.00035664,             0.00035664,             0.00035664
                     50,                 1.0825,                0.92801,                 1.2779,                0.76021,                 0.7086,                0.77102,                0.54807,                 1.0067,                0.91403,                 1.2093,             0.00035004,             0.00035004,             0.00035004
                     51,                 1.0501,                0.91348,                 1.2751,                0.77494,                 0.6892,                0.77236,                0.53801,                 1.0328,                0.91277,                 1.2253,             0.00034344,             0.00034344,             0.00034344
                     52,                 1.0529,                 0.9165,                  1.266,                0.79238,                0.68621,                 0.7818,                0.55561,                 1.0096,                 0.9241,                 1.2089,             0.00033683,             0.00033683,             0.00033683
                     53,                 1.0483,                0.90988,                 1.2671,                0.76626,                 0.7338,                0.79446,                0.56123,                 1.0337,                0.89998,                 1.2274,             0.00033023,             0.00033023,             0.00033023
                     54,                 1.0454,                0.88895,                 1.2646,                0.72452,                0.70541,                 0.7673,                0.53693,                 1.0354,                0.94499,                 1.2411,             0.00032363,             0.00032363,             0.00032363
                     55,                 1.0491,                 0.8912,                 1.2633,                0.72834,                0.73634,                0.77519,                0.54788,                 1.0274,                0.88808,                 1.2315,             0.00031703,             0.00031703,             0.00031703
                     56,                 1.0268,                0.85727,                 1.2507,                0.76699,                0.70704,                0.78672,                 0.5473,                 1.0509,                 0.8663,                 1.2452,             0.00031042,             0.00031042,             0.00031042
                     57,                 1.0433,                0.86961,                 1.2588,                0.73955,                0.73322,                0.78145,                 0.5625,                 1.0135,                0.88501,                 1.2202,             0.00030382,             0.00030382,             0.00030382
                     58,                 1.0158,                0.85351,                  1.245,                0.77109,                0.70848,                0.79451,                0.56277,                 1.0201,                0.89091,                  1.221,             0.00029722,             0.00029722,             0.00029722
                     59,                 1.0304,                0.85766,                 1.2448,                0.72047,                0.75932,                0.78873,                0.54978,                 1.0227,                0.88409,                 1.2141,             0.00029061,             0.00029061,             0.00029061
                     60,                 1.0126,                 0.8562,                 1.2504,                0.72083,                0.76197,                0.78789,                0.54961,                 1.0325,                0.90385,                 1.2193,             0.00028401,             0.00028401,             0.00028401
                     61,                 1.0037,                0.83683,                 1.2393,                0.75638,                0.72986,                0.78473,                0.56639,                0.99923,                0.86791,                 1.2098,             0.00027741,             0.00027741,             0.00027741
                     62,                0.99537,                0.83979,                 1.2307,                0.71919,                0.76664,                0.78111,                0.53731,                 1.0302,                0.90394,                 1.2397,              0.0002708,              0.0002708,              0.0002708
                     63,                 1.0001,                0.82487,                 1.2302,                0.77712,                0.71876,                 0.8026,                0.56179,                 1.0238,                0.87393,                 1.2339,              0.0002642,              0.0002642,              0.0002642
                     64,                0.99283,                0.81382,                 1.2251,                 0.7338,                0.75372,                0.78662,                0.56515,                0.98366,                0.88282,                  1.211,              0.0002576,              0.0002576,              0.0002576
                     65,                0.98071,                0.80168,                 1.2182,                0.77599,                0.72106,                0.78131,                0.55842,                 1.0134,                0.90805,                 1.2192,             0.00025099,             0.00025099,             0.00025099
                     66,                0.98002,                 0.8197,                 1.2223,                0.77446,                0.73434,                0.80328,                 0.5722,                 1.0044,                0.90345,                 1.2214,             0.00024439,             0.00024439,             0.00024439
                     67,                0.98431,                0.80819,                 1.2242,                0.81593,                0.70692,                0.80674,                0.57758,                0.98396,                0.86908,                 1.2026,             0.00023779,             0.00023779,             0.00023779
                     68,                0.96874,                0.80147,                 1.2113,                 0.8064,                 0.7077,                0.80166,                0.56573,                 1.0079,                 0.8863,                 1.2278,             0.00023118,             0.00023118,             0.00023118
                     69,                0.98017,                0.79056,                 1.2165,                0.79398,                0.70337,                0.78072,                0.56762,                0.98626,                0.87306,                 1.2063,             0.00022458,             0.00022458,             0.00022458
                     70,                0.96514,                0.79575,                 1.2106,                0.80551,                0.72245,                0.80831,                0.58251,                 1.0028,                0.87794,                 1.2159,             0.00021798,             0.00021798,             0.00021798
                     71,                0.96419,                0.77991,                 1.2112,                0.78126,                0.73724,                0.80593,                0.57696,                 1.0013,                0.84687,                 1.2352,             0.00021137,             0.00021137,             0.00021137
                     72,                0.96218,                0.78017,                 1.2051,                0.78903,                0.72154,                0.79636,                0.57069,                 1.0007,                0.90797,                 1.2105,             0.00020477,             0.00020477,             0.00020477
                     73,                0.96493,                0.77611,                 1.2141,                0.78224,                0.70923,                 0.7925,                0.56244,                0.99362,                0.83691,                 1.2092,             0.00019817,             0.00019817,             0.00019817
                     74,                 0.9507,                0.77198,                 1.2017,                0.76301,                0.71007,                0.78247,                0.56111,                 0.9945,                0.87225,                  1.211,             0.00019156,             0.00019156,             0.00019156
                     75,                0.96611,                0.76009,                 1.2016,                0.77088,                0.72611,                0.79403,                0.57472,                 0.9837,                0.85333,                  1.192,             0.00018496,             0.00018496,             0.00018496
                     76,                0.93935,                0.74721,                 1.1871,                 0.7779,                0.76357,                0.80977,                0.57219,                 1.0067,                0.85697,                 1.2161,             0.00017836,             0.00017836,             0.00017836
                     77,                0.93474,                0.75578,                 1.1901,                0.74188,                0.78246,                0.80241,                0.57148,                 1.0107,                0.86655,                 1.2225,             0.00017175,             0.00017175,             0.00017175
                     78,                0.93587,                0.74714,                 1.1921,                0.75476,                0.74558,                0.78372,                0.56271,                 1.0205,                  0.882,                 1.2196,             0.00016515,             0.00016515,             0.00016515
